ewas_beta,ewas_p,clpm_beta,clpm_p,converged,sign_opposite
-0.547407267328132,6.36649293127262e-06,0.288599205464217,4.6995611846512e-09,TRUE,TRUE
-0.466773172431332,0.00260295359064239,0.261264020759136,6.13981265829011e-09,TRUE,TRUE
-0.61520191943297,6.15248753378432e-07,0.327798123596461,7.22599757807529e-12,TRUE,TRUE
-0.409827612858342,0.00307143094302281,0.184789901203472,0.000446157292818494,TRUE,TRUE
-0.592361622575373,2.25099083476701e-05,0.330316739480309,1.61575641755007e-10,TRUE,TRUE
-0.348742051231828,0.000851801080931956,0.312682091799698,6.06041006268043e-08,TRUE,TRUE
-0.418978091904163,4.4292307606859e-05,0.546718688955779,1.11022302462516e-15,TRUE,TRUE
-0.431045796676611,0.000439977376205174,0.347488831928678,8.21697598851756e-10,TRUE,TRUE
-0.402539017212679,0.00313299422739959,0.357607736714478,2.34680719302105e-10,TRUE,TRUE
-0.592130203600157,0.000171521788343605,0.305366762091062,1.71012759508926e-09,TRUE,TRUE
-0.479737855262462,0.000104299886754722,0.316073285357878,2.26659624402714e-09,TRUE,TRUE
-0.914005207538502,1.42563934881159e-08,0.309955715424186,9.10382880192628e-14,TRUE,TRUE
-0.612297098960113,1.06138148680526e-05,0.330927200153344,6.61692922676593e-14,TRUE,TRUE
-0.546587653354507,9.24133124434657e-05,0.381461684586276,5.50670620214078e-14,TRUE,TRUE
-0.275243011010635,0.0365456409333569,0.269666053154082,2.17758433063153e-07,TRUE,TRUE
-0.484060489892825,0.000148864181576854,0.33145718647566,1.12082987335782e-09,TRUE,TRUE
-0.486530048493977,0.000531962388988445,0.313806494124599,9.69278390883233e-09,TRUE,TRUE
-0.459151947552796,0.00216631088228784,0.225376831060358,2.85902002672422e-06,TRUE,TRUE
-0.299368693830749,0.00921997769067445,0.288032912814751,1.49980177899245e-06,TRUE,TRUE
-0.556501847486335,0.000114683220492545,0.302173054394904,5.09944397819595e-09,TRUE,TRUE
-0.470660253714707,0.000486620750537526,0.291845606018629,2.01682130995806e-08,TRUE,TRUE
-0.591241817461305,4.2040508125097e-06,0.304555064389896,1.68096700114972e-07,TRUE,TRUE
-0.439269588173522,0.00020952908621004,0.360361870555315,1.17486020911883e-11,TRUE,TRUE
-0.707763178901871,2.06523777576261e-07,0.306717991309255,6.74249545085104e-11,TRUE,TRUE
-0.210414527679634,0.0644573861820607,0.296091238392515,6.33603987556519e-05,TRUE,TRUE
-0.329172704909931,0.00427111994755106,0.272033438790793,1.65703256778116e-05,TRUE,TRUE
-0.587621274094009,1.03605712704651e-05,0.271358089577541,1.15262807098837e-06,TRUE,TRUE
-0.370819160741269,0.00302751701988434,0.20031571710512,0.000867533249788943,TRUE,TRUE
-0.521836628835683,1.79283689757006e-05,0.354379960334865,3.3963276635518e-11,TRUE,TRUE
-0.348000600653061,0.00481167971308592,0.289054532551305,1.59328161664085e-06,TRUE,TRUE
-0.305567115600003,0.0130843238822615,0.228913022611096,7.5738086710464e-05,TRUE,TRUE
-0.555797452190934,2.09225732502421e-05,0.371816610595945,5.51114709423928e-13,TRUE,TRUE
-0.365211030509832,0.00108888879027253,0.33875798016257,8.5777696057221e-10,TRUE,TRUE
-0.396719991550715,0.000534666677111123,0.190189030749388,0.00016262733903849,TRUE,TRUE
-0.74369876139928,6.05748045096696e-09,0.351786597723296,1.49213974509621e-13,TRUE,TRUE
-0.566634836161204,1.33306573128742e-05,0.262406922539547,1.22892374498917e-05,TRUE,TRUE
-0.398016882999323,0.00280116227819669,0.245346512527979,7.6046946799746e-06,TRUE,TRUE
-0.365605835367239,0.00327428856208551,0.282550798090207,1.96787690587286e-08,TRUE,TRUE
-0.702503806623134,6.23994184459107e-07,0.326007122764761,2.6241897543855e-11,TRUE,TRUE
-0.463775427149497,0.000344646415661115,0.367848478918487,5.86641846211933e-13,TRUE,TRUE
-0.449821692730959,0.000221863985539406,0.372278692924557,7.81441578112663e-12,TRUE,TRUE
-0.503528230750463,0.000599345781911077,0.219680237328636,0.000103009214528216,TRUE,TRUE
-0.477607199909415,2.7094109534652e-05,0.330144844746599,7.43555106375027e-09,TRUE,TRUE
-0.408880426170266,0.00124721434564451,0.391817904132324,3.14859249783694e-13,TRUE,TRUE
-0.406340257061385,0.00366130052549977,0.314612620465808,1.13029585691038e-11,TRUE,TRUE
-0.543706213709508,0.000611085110380774,0.291523692244858,3.71549457867104e-11,TRUE,TRUE
-0.618895973377939,1.88413382285527e-06,0.319407089593791,5.48064593708375e-09,TRUE,TRUE
-0.542231590420611,0.000229289626601507,0.249927327562438,6.66615685318561e-07,TRUE,TRUE
-0.423615444811001,0.00199095116880529,0.308442313138631,3.28171689822909e-09,TRUE,TRUE
-0.461766135087833,0.000586384708285411,0.28575412616281,2.77170337792398e-07,TRUE,TRUE
-0.467277646576171,0.000258670496959698,0.268364135369792,2.85703735203313e-06,TRUE,TRUE
-0.609542807939806,3.26283932769162e-08,0.386384543603411,1.77635683940025e-15,TRUE,TRUE
-0.245537209376641,0.0291946431167793,0.305761553017412,9.46783917932237e-09,TRUE,TRUE
-0.479035047160392,0.000105821239192233,0.362326480638956,2.7331914509432e-11,TRUE,TRUE
-0.448551670592735,0.000216597636880185,0.302029788414518,2.34075936411671e-09,TRUE,TRUE
-0.562892484336437,4.75397795931453e-06,0.323992758111513,1.09059428154978e-11,TRUE,TRUE
-0.169829786754445,0.150121839505617,0.238968699276335,7.69547950663085e-05,TRUE,TRUE
-0.534700212084372,4.5404740025518e-05,0.369698820429567,1.30152089106161e-09,TRUE,TRUE
-0.417565139188254,0.00364936970150837,0.200404428528672,1.90716853876172e-05,TRUE,TRUE
-0.463676798271631,0.000679254871619721,0.350088528239744,3.91242593877905e-13,TRUE,TRUE
